"","1","2","4","6","8"
"6",1214,1240,1357,1579,1811
"5",1210,1235,1353,1574,1807
"4",1207,1231,1349,1570,1802
"3",1204,1227,1345,1566,1798
"2",1202,1224,1343,1562,1794
"1",1202,1224,1341,1559,1790
