"","1","2","4","6","8"
"6",1120,1144,1249,1444,1654
"5",1117,1139,1244,1440,1648
"4",1113,1136,1240,1435,1642
"3",1109,1133,1235,1432,1639
"2",1108,1131,1231,1428,1635
"1",1108,1129,1227,1425,1632
